2022-04-28 01:08:21 INFO     2022-04-28 01:08:21.545929
2022-04-28 01:08:45 INFO     Click First Boss
2022-04-28 01:09:14 INFO     Scroll to Second Set
2022-04-28 01:09:36 INFO     Third Set
2022-04-28 01:10:27 INFO     Swipe Attack 1
2022-04-28 01:17:26 INFO     Sleep 1
2022-04-28 01:17:27 INFO     Activate Zodac
2022-04-28 01:17:27 INFO     Sleep 60
2022-04-28 01:18:28 INFO     Click Boss
2022-04-28 01:18:29 INFO     Tap Attack 2
2022-04-28 01:20:29 INFO     Activate Rio Blast
2022-04-28 01:20:31 INFO     Swipe to Fourth Set
2022-04-28 01:20:36 INFO     Click Boss
2022-04-28 01:22:12 INFO     Click Mekaneck
2022-04-28 01:25:47 INFO     Click He-Man
2022-04-28 01:27:40 INFO     Upgrade Rio Blast, Mekaneck, He-Man
2022-04-28 01:28:40 INFO     START
2022-04-28 01:28:40 INFO     2022-04-28 01:28:40.501059
2022-04-28 01:29:04 INFO     Click First Boss
2022-04-28 01:29:33 INFO     Scroll to Second Set
2022-04-28 01:29:55 INFO     Third Set
2022-04-28 01:30:10 INFO     Swipe Attack 1
2022-04-28 01:37:09 INFO     Sleep 1
2022-04-28 01:37:10 INFO     Activate Zodac
2022-04-28 01:37:10 INFO     Sleep 60
2022-04-28 01:38:11 INFO     Click Boss
2022-04-28 01:38:12 INFO     Tap Attack 2
2022-04-28 01:40:12 INFO     Activate Rio Blast
2022-04-28 01:40:14 INFO     Swipe to Fourth Set
2022-04-28 01:40:20 INFO     Click Boss
2022-04-28 01:41:55 INFO     Click Mekaneck
2022-04-28 01:45:27 INFO     Injury Time Travel
2022-04-28 01:45:39 INFO     START
2022-04-28 01:45:39 INFO     2022-04-28 01:45:39.367401
2022-04-28 01:46:03 INFO     Click First Boss
2022-04-28 01:46:31 INFO     Scroll to Second Set
2022-04-28 01:46:54 INFO     Third Set
2022-04-28 01:47:09 INFO     Swipe Attack 1
2022-04-28 01:54:08 INFO     Sleep 1
2022-04-28 01:54:09 INFO     Activate Zodac
2022-04-28 01:54:09 INFO     Sleep 60
2022-04-28 01:55:10 INFO     Click Boss
2022-04-28 01:55:11 INFO     Tap Attack 2
2022-04-28 01:57:11 INFO     Activate Rio Blast
2022-04-28 01:57:13 INFO     Swipe to Fourth Set
2022-04-28 01:59:08 INFO     Click Boss
2022-04-28 02:00:44 INFO     Click Mekaneck
2022-04-28 02:04:19 INFO     Click He-Man
2022-04-28 02:06:11 INFO     Upgrade Rio Blast, Mekaneck, He-Man
2022-04-28 02:07:11 INFO     START
2022-04-28 02:07:11 INFO     2022-04-28 02:07:11.858797
2022-04-28 02:07:35 INFO     Click First Boss
2022-04-28 02:08:00 INFO     Reload Game
2022-04-28 02:08:29 INFO     START
2022-04-28 02:08:29 INFO     2022-04-28 02:08:29.109063
2022-04-28 02:08:52 INFO     Click First Boss
2022-04-28 02:09:21 INFO     Scroll to Second Set
2022-04-28 02:09:44 INFO     Third Set
2022-04-28 02:10:17 INFO     Swipe Attack 1
2022-04-28 02:17:16 INFO     Sleep 1
2022-04-28 02:17:17 INFO     Activate Zodac
2022-04-28 02:17:17 INFO     Sleep 60
2022-04-28 02:18:18 INFO     Click Boss
2022-04-28 02:18:19 INFO     Tap Attack 2
2022-04-28 02:20:19 INFO     Activate Rio Blast
2022-04-28 02:20:21 INFO     Swipe to Fourth Set
2022-04-28 02:20:26 INFO     Click Boss
2022-04-28 02:22:02 INFO     Click Mekaneck
2022-04-28 02:25:37 INFO     Click He-Man
2022-04-28 02:27:29 INFO     Upgrade Rio Blast, Mekaneck, He-Man
2022-04-28 02:28:29 INFO     START
2022-04-28 02:28:29 INFO     2022-04-28 02:28:29.437323
2022-04-28 02:28:53 INFO     Click First Boss
2022-04-28 02:29:22 INFO     Scroll to Second Set
2022-04-28 02:29:44 INFO     Third Set
2022-04-28 02:32:57 INFO     Swipe Attack 1
2022-04-28 02:39:56 INFO     Sleep 1
2022-04-28 02:39:57 INFO     Activate Zodac
2022-04-28 02:39:57 INFO     Sleep 60
2022-04-28 02:40:58 INFO     Click Boss
2022-04-28 02:40:59 INFO     Tap Attack 2
2022-04-28 02:42:59 INFO     Activate Rio Blast
2022-04-28 02:43:01 INFO     Swipe to Fourth Set
2022-04-28 02:43:29 INFO     Click Boss
2022-04-28 02:45:04 INFO     Click Mekaneck
2022-04-28 02:48:40 INFO     Click He-Man
2022-04-28 02:50:32 INFO     Upgrade Rio Blast, Mekaneck, He-Man
2022-04-28 02:56:35 INFO     START
2022-04-28 02:56:35 INFO     2022-04-28 02:56:35.542110
2022-04-28 02:56:59 INFO     Click First Boss
2022-04-28 02:57:28 INFO     Scroll to Second Set
2022-04-28 02:57:50 INFO     Third Set
2022-04-28 02:58:06 INFO     Swipe Attack 1
2022-04-28 03:05:05 INFO     Sleep 1
2022-04-28 03:05:06 INFO     Activate Zodac
2022-04-28 03:05:06 INFO     Sleep 60
2022-04-28 03:06:07 INFO     Click Boss
2022-04-28 03:06:08 INFO     Tap Attack 2
2022-04-28 03:08:08 INFO     Activate Rio Blast
2022-04-28 03:08:10 INFO     Swipe to Fourth Set
2022-04-28 03:09:21 INFO     Click Boss
2022-04-28 03:10:56 INFO     Click Mekaneck
2022-04-28 03:14:32 INFO     Click He-Man
2022-04-28 03:16:24 INFO     Upgrade Rio Blast, Mekaneck, He-Man
2022-04-28 03:22:28 INFO     START
2022-04-28 03:22:28 INFO     2022-04-28 03:22:28.253491
2022-04-28 03:22:52 INFO     Click First Boss
2022-04-28 03:23:21 INFO     Scroll to Second Set
2022-04-28 03:23:58 INFO     Third Set
2022-04-28 03:24:13 INFO     Swipe Attack 1
2022-04-28 03:31:12 INFO     Sleep 1
2022-04-28 03:31:13 INFO     Activate Zodac
